Date,Content,Name,Rating
2/1/2019,💜💜💜,Tusher shimul,5
2/1/2019,Pls make it th13,,3
2/1/2019,it is cute,jibon ahmed,5
2/1/2019,superb,Sunil Jayasingha,5
2/1/2019,"its an awesome game, period",,5
2/1/2019,wow,Ashik Sagayaraj,5
2/1/2019,Nice game and nice army,,5
2/1/2019,as long as it takes up 100 space all give it a five and saves my hard work,,4
2/1/2019,good game in my life pubg and free fire is nothing comparing to this game,mohan adhikari,5
2/1/2019,Supper,DJ Sagar,5
2/1/2019,very good gamme.loving game,Akif Ifaz,5
2/1/2019,Good,Rishabh Sharma,1
2/1/2019,nice game 👍👍👍👍,Thanggam Thangam,5
2/1/2019,hi supercell what if you add a new feature like clash of kings or rise of civilization.,mark valdez,5
2/1/2019,INTRESTING,,5
2/1/2019,its good. i loved it,,5
2/1/2019,the game is good,,5
2/1/2019,awesome!,crpntr 19,5
2/1/2019,nice game,yogesh sharma,4
2/1/2019,v. v. v. nice,,5
2/1/2019,it was so great,,5
2/1/2019,I really love this game,,5
2/1/2019,Bagus banget,,5
2/1/2019,Awesome,Amit Singh,5
2/1/2019,Good,,5
2/1/2019,super game for all,shot film,5
2/1/2019,give you 1 becouse u need more coins,,1
2/1/2019,too addictive. i spent lot of time in this game. can i get it back. hahhah 😂😂😃😃😎,gautam choudhary,5
2/1/2019,best game,,5
2/1/2019,the no.1 game in the world pubg is not good than coc,,5
2/1/2019,great game of all time,,5
2/1/2019,Awesome game,anukumar kumar,3
2/1/2019,PodA,,5
2/1/2019,My favourite game coc .good grafick,Akash Barua,5
2/1/2019,its a amazing game,,5
2/1/2019,awesome,,5
2/1/2019,nice game,,5
2/1/2019,Best game ive ever play,,5
2/1/2019,l like this app,,5
2/1/2019,wrost games ever,aKsHiT tHaKuR,1
2/1/2019,I like the new update i give 5 star for this game,Rico Jay T. Constantino,5
2/1/2019,its so more than beautiful,Jay-r Emmanuel Aguda,5
2/1/2019,Mad mad mad. ..,BWIN INDIA,5
2/1/2019,this game is so addict I playing in 3years,Beatz BgM,5
2/1/2019,very good good good good,,5
2/1/2019,soooo best in world game 😊😊😋😋😋😍😍😍,,5
2/1/2019,Very nise,Anish Bhowmick,5
2/1/2019,kake,christine mae,5
